Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/12/2021,9.97,15.1,9.6,12.3,0.3,150,639,416.36%,0.912485218,0.014026481,-0.913500409,0.004329699,0.000765825,12.9,52.4,40
02/10/2021,12,22.73,9.46,12,0.15,235,1363,300.84%,0.888703667,0.016628663,-0.539240036,0.007184572,0.001507346,11.87500051,51.2,40
02/09/2021,16,16,9.5,11.85,-9.3,352,1376,301.55%,0.835265787,0.018027775,-0.567177536,0.011306745,0.00210674,11.67500045,50.31,40
02/04/2021,37.89,37.89,19.25,19.25,-45.1,621,129,436.86%,0.780031617,0.008553941,-0.638869451,0.023436139,0.004239171,19.72500194,53.5,40
02/03/2021,63.25,68.01,58,64.35,-0.3,5,140,428.40%,0.949142946,0.00178149,-0.381277598,0.014281414,0.005990837,54.02500109,92.41,40
02/02/2021,58.8,83.57,50.65,64.65,-135.35,27,121,566.43%,0.908730871,0.001942931,-0.690407525,0.024417702,0.006189094,55.625,90,40
02/01/2021,278.19,278.19,190.8,200,-50,11,127,627.93%,0.983350863,0.000168443,-0.459518355,0.016136724,0.008269041,187.225,225,40
01/28/2021,211.78,211.78,211.78,211.78,-74.22,1,140,724.94%,0.964607702,0.000273603,-0.73702242,0.030546623,0.008954164,161.4500002,193.6,40
01/27/2021,260,286,240.39,286,178.5,24,143,838.59%,0.982494128,7.07E-05,-0.821326611,0.031382818,0.009625484,315.8999984,347.51,40
01/26/2021,51.92,107.5,44.5,107.5,63.97,20,144,0.00%,0,0,0,0,0,0,147.98,40
01/25/2021,51,111.35,35,43.53,19.53,74,164,352.73%,0.889300443,0.003135955,-0.313910353,0.032150892,0.011306042,41.475,76.79,40
01/22/2021,8.35,35.15,8.35,24,15.95,140,250,237.02%,0.87214735,0.005649876,-0.182538963,0.032535955,0.01378756,28.07500266,65.01,40
01/21/2021,7,10.25,5.3,8.05,1.37,165,241,165.88%,0.648122594,0.021166976,-0.146768411,0.039159859,0.010410327,8.3,43.03,40
01/20/2021,6.43,8,4.95,6.68,-0.98,96,199,185.30%,0.572190036,0.021553766,-0.154273944,0.03849315,0.008787172,6.824998068,39.12,40
01/19/2021,8.08,11.1,6.25,7.66,1.68,294,155,198.87%,0.587283634,0.019387112,-0.161823571,0.039252612,0.009116514,7.65,39.36,40
01/15/2021,7.3,7.3,4.95,5.98,-1.32,87,90,187.19%,0.51020999,0.021655178,-0.130216006,0.03916773,0.008643916,5.65,35.5,40
01/14/2021,7.6,10.8,5.05,7.3,7.3,152,N/A,191.35%,0.603445216,0.017892411,-0.142035428,0.043300706,0.011122748,8.425,39.91,40
